Image_number,Micro_Row_Number,Micro_Column_Number
21,3,10
21,4,10
21,6,10
21,6,12
21,3,13
21,6,14
21,5,17
21,6,18
21,5,22
22,6,16
22,5,3
22,1,4
22,1,8
23,4,16
23,1,18
23,3,4
23,5,5
23,6,7
24,3,18
24,4,5
25,4,12
25,2,13
25,4,13
25,5,15
25,4,21
25,2,6
25,2,8
25,2,9
26,4,13
26,6,13
26,1,19
26,3,1
26,3,20
26,2,5
26,1,7
26,1,9
26,3,9
27,2,16
27,1,17
28,2,14
28,6,14
28,4,4
29,4,10
29,6,13
29,5,16
29,1,17
29,3,2
29,5,2
29,6,7
29,2,8
30,4,11
30,4,3
30,2,5
30,3,8
31,3,19
31,3,22
31,3,2
31,6,5
32,3,3
33,1,13
33,4,13
33,4,15
33,4,18
33,1,19
33,1,21
34,2,10
34,4,10
34,1,13
34,4,14
34,6,14
34,6,16
34,3,17
34,1,4
34,2,4
34,3,5
34,1,8
34,2,8
35,6,13
35,5,15
35,2,16
35,5,17
35,1,19
35,4,21
35,1,3
35,4,5
35,5,7
35,2,8
36,3,13
36,5,16
36,3,1
36,1,3
36,2,3
36,3,8
37,4,16
37,2,1
37,5,20
37,1,7
37,4,8
37,3,9
37,6,9
38,4,10
38,6,15
38,1,21
38,3,8
39,1,22
39,5,4
39,3,7
40,4,15
40,5,22
40,6,5
40,1,6
40,3,6
40,3,8
41,6,10
41,4,19
42,2,14
42,5,14
42,3,15
42,4,15
42,2,16
43,6,18
43,2,5
43,4,7
43,1,8
44,4,12
44,4,13
44,3,3
45,3,20
45,1,7
46,2,13
46,4,21
47,5,20
47,1,8
48,3,10
48,6,10
48,2,4
48,4,9
49,3,13
49,2,17
49,1,5
50,1,13
50,4,13
51,1,10
51,2,12
51,3,14
51,3,15
51,4,15
51,4,16
51,6,21
51,2,3
51,4,5
51,6,7
51,2,9
52,6,10
52,4,13
52,6,14
52,5,4
52,2,7
53,3,10
53,5,13
53,2,16
53,2,19
53,1,6
53,2,7
53,4,7
54,6,10
54,4,12
54,3,13
54,5,13
54,6,13
54,5,14
54,1,15
54,3,6
54,2,9
54,5,9
55,1,20
55,5,3
55,3,9
56,4,19
56,6,19
56,3,22
56,1,2
56,6,8
57,3,10
57,6,13
57,2,15
57,2,19
57,1,21
57,3,4
57,3,6
58,2,11
58,3,15
58,2,16
58,6,16
58,5,17
58,6,17
58,4,19
58,6,19
58,1,1
58,6,20
58,1,21
58,5,21
58,4,2
58,6,2
58,2,3
58,6,3
58,6,4
58,4,8
58,2,9
59,4,10
59,1,20
59,3,8
60,2,13
60,4,19
61,4,13
61,3,18
61,3,20
61,6,5
62,3,13
62,6,14
62,6,3
62,3,4
62,4,4
62,1,9
63,2,10
63,4,10
63,4,13
63,2,15
63,3,16
63,5,1
63,2,3
63,1,5
63,2,8
64,3,10
64,1,4
64,2,5
65,2,10
65,3,20
65,5,2
65,6,2
65,5,4
65,1,9
65,5,9
66,2,18
66,5,18
67,3,10
67,5,16
67,5,17
67,1,20
67,1,21
67,5,4
67,6,9
68,1,13
68,4,14
68,1,15
68,4,19
68,2,22
68,4,2
68,3,4
68,2,6
68,2,7
69,5,10
69,6,15
69,5,16
69,4,18
69,3,21
69,5,5
69,2,6
69,2,7
70,3,11
70,2,13
70,1,14
70,3,5
71,3,15
71,5,15
71,6,17
71,2,18
71,6,19
71,6,20
71,1,2
71,5,4
71,5,8
71,2,9
71,4,9
72,3,13
72,2,1
72,1,4
72,3,4
72,1,5
73,6,5
73,1,7
73,2,7
73,2,8
74,4,10
74,5,14
74,5,16
74,6,1
74,1,5
74,3,5
74,5,6
74,2,8
75,1,10
75,6,20
75,2,22
75,3,22
75,4,2
75,3,7
76,4,11
76,4,21
76,5,3
76,5,4
76,3,8
77,1,13
77,2,13
77,3,13
77,4,15
77,1,18
77,3,18
77,1,19
77,2,19
77,3,1
77,2,21
77,5,22
77,1,4
77,3,5
77,3,9
78,6,12
78,4,13
78,5,18
78,1,20
78,2,21
78,5,2
79,2,20
79,6,3
79,4,4
79,2,5
79,4,5
79,1,6
79,5,8
80,6,10
80,4,13
80,4,14
80,5,14
80,4,19
80,2,2
80,2,4
80,4,7
80,5,7
81,4,14
81,5,19
81,5,5
81,6,8
83,4,10
83,1,15
83,2,16
83,6,19
83,3,1
83,5,2
83,6,2
83,1,4
83,5,5
83,4,7
84,3,12
84,4,18
84,3,19
84,4,20
84,2,21
84,1,8
84,4,9
85,2,11
85,4,12
85,1,13
85,2,13
85,1,14
85,4,14
85,4,15
85,1,3
85,5,3
85,6,9
86,4,12
86,6,16
86,2,19
86,2,2
86,3,8
87,2,10
87,5,10
87,1,13
87,4,15
87,2,18
87,4,19
87,3,22
87,4,2
87,6,3
87,4,4
87,2,5
87,6,9
88,5,13
88,3,14
88,4,4
88,6,7
88,3,8
88,5,8
88,6,9
89,4,10
89,1,11
89,3,14
89,3,16
89,3,1
89,6,1
89,4,20
89,6,21
89,2,5
89,6,5
89,6,6
89,6,7
89,5,8
90,2,14
90,2,18
90,5,18
90,3,19
90,2,21
90,3,21
90,2,2
90,3,3
90,6,3
90,4,5
90,6,9
91,2,10
91,2,13
91,2,15
91,3,15
91,4,1
91,6,2
91,4,7
91,3,9
91,4,9
92,1,17
92,5,21
92,4,5
92,1,8
92,5,8
92,1,9
93,3,10
93,3,13
93,4,18
93,3,1
93,2,21
93,3,21
93,6,22
93,3,9
94,6,10
94,3,15
94,2,20
94,4,20
94,2,21
94,1,22
95,4,13
